gender,age,study_hours_per_day,attendance_percentage,parental_education,internet_access,previous_grade,assignments_completed,sleep_hours,extracurricular_participation,final_exam_score,result
Male,18,4.82,83.91,Bachelor,Yes,83.7,10,5.5,Yes,84.48,Pass
Female,19,2.57,97.08,Master,Yes,78.21,3,6.24,Yes,62.73,Pass
Male,16,1.05,75.94,Diploma,Yes,71.58,6,5.68,Yes,54.47,Pass
Female,16,3.99,72.76,Master,Yes,46.63,9,4.46,No,60.16,Pass
Male,18,5.34,95.49,Bachelor,Yes,49.11,5,7.69,Yes,60.22,Pass
Female,18,5.38,61.97,High School,Yes,85.12,4,6.31,No,74.32,Pass
Female,19,5.77,65.46,Diploma,Yes,84.18,10,8.06,No,90.19,Pass
Male,15,5.27,63.3,Diploma,Yes,73.8,10,7.47,Yes,82.27,Pass
Male,15,0.51,93.72,Master,Yes,64.14,4,4.29,Yes,44.95,Pass
Female,17,2.59,60.42,Master,Yes,41.43,6,6.5,No,46.41,Pass
Female,16,5.0,94.47,High School,Yes,57.99,1,8.95,No,66.82,Pass
Female,19,2.51,78.05,Master,Yes,63.14,8,5.54,Yes,62.56,Pass
Female,16,3.81,60.16,Bachelor,No,66.72,1,6.46,Yes,54.77,Pass
Female,19,3.83,76.07,Bachelor,Yes,91.11,8,7.26,Yes,78.1,Pass
Male,19,2.51,67.47,Bachelor,Yes,45.98,10,5.01,Yes,55.56,Pass
Male,19,5.47,84.98,Bachelor,Yes,68.54,3,7.51,No,78.68,Pass
Female,16,3.27,87.17,High School,Yes,60.24,9,7.3,Yes,69.98,Pass
Male,18,3.06,79.5,High School,Yes,94.46,10,5.87,No,84.92,Pass
Male,16,5.99,61.62,High School,Yes,87.4,9,5.42,Yes,85.07,Pass
Male,19,3.21,86.25,Master,Yes,64.13,5,8.6,Yes,65.27,Pass
Female,17,1.48,93.68,High School,Yes,94.98,0,4.64,No,49.75,Pass
Male,15,3.32,88.81,Diploma,Yes,68.27,4,6.16,Yes,62.46,Pass
Female,19,4.98,93.2,Diploma,Yes,49.19,5,7.83,No,64.45,Pass
Male,17,4.77,68.02,Diploma,No,70.57,8,4.74,Yes,81.49,Pass
Female,18,4.84,95.56,Master,Yes,52.44,8,8.66,No,68.25,Pass
Male,19,4.39,72.89,Master,Yes,75.0,8,6.63,No,78.03,Pass
Female,17,1.9,60.54,High School,Yes,91.56,2,6.52,No,58.14,Pass
Female,19,5.24,93.74,Bachelor,No,83.24,3,6.12,Yes,71.03,Pass
Male,16,5.41,97.67,Diploma,No,55.02,7,8.34,No,75.51,Pass
Female,17,1.57,86.22,Master,Yes,56.33,7,8.74,No,52.25,Pass
Female,16,1.22,69.26,Diploma,Yes,43.81,1,5.9,Yes,32.34,Fail
Female,16,5.87,70.07,High School,Yes,55.72,7,6.71,No,70.8,Pass
Female,17,5.28,78.66,Master,Yes,45.09,6,5.58,No,64.6,Pass
Female,15,5.41,95.91,Bachelor,Yes,67.47,8,5.84,Yes,79.84,Pass
Female,17,5.38,65.98,Bachelor,Yes,78.96,4,4.14,Yes,75.73,Pass
Female,15,3.48,93.04,Master,Yes,81.31,1,7.93,Yes,62.83,Pass
Female,19,4.06,71.65,Bachelor,Yes,43.27,4,8.85,No,57.17,Pass
Male,19,3.5,92.34,High School,Yes,58.7,1,7.85,No,56.34,Pass
Male,17,0.78,96.81,Bachelor,Yes,55.85,4,6.59,No,51.42,Pass
Female,19,4.6,77.1,Diploma,Yes,45.74,8,8.14,Yes,68.44,Pass
Female,18,3.28,74.6,Diploma,Yes,59.94,6,8.29,Yes,60.56,Pass
Male,16,4.06,92.09,Diploma,Yes,56.46,6,6.72,No,69.76,Pass
Male,16,3.26,81.18,Master,Yes,74.9,0,8.69,No,55.01,Pass
Male,15,3.2,87.38,Master,Yes,88.58,8,4.15,Yes,77.62,Pass
Female,19,1.44,84.91,Master,Yes,65.02,5,4.05,No,39.09,Fail
Male,15,2.03,66.12,Master,Yes,81.07,6,4.41,No,56.69,Pass
Female,16,1.37,93.79,Master,No,48.03,1,4.29,Yes,40.94,Pass
Female,16,1.58,67.83,High School,No,89.22,0,6.12,No,57.08,Pass
Male,19,5.85,97.29,Master,Yes,48.39,10,8.7,Yes,81.03,Pass
Female,18,1.34,70.02,Bachelor,No,50.57,3,7.38,No,42.97,Pass
Female,18,1.98,89.36,High School,Yes,45.86,8,7.3,No,56.54,Pass
Female,19,3.75,71.39,Master,No,57.03,8,5.92,No,64.88,Pass
Female,19,3.86,72.71,Bachelor,Yes,70.38,10,6.67,No,70.03,Pass
Male,15,1.35,72.4,High School,Yes,94.34,2,5.52,Yes,58.93,Pass
Male,19,4.87,89.92,Diploma,Yes,83.64,0,6.59,Yes,60.61,Pass
Female,18,4.82,82.27,High School,Yes,60.92,1,7.73,No,61.15,Pass
Female,19,1.81,95.32,Master,Yes,71.67,8,6.79,No,70.35,Pass
Male,15,2.09,72.29,High School,Yes,74.28,8,6.09,No,64.83,Pass
Female,15,5.66,87.68,High School,Yes,85.25,0,8.22,Yes,73.8,Pass
Male,15,5.04,90.12,Diploma,Yes,80.5,8,5.44,No,87.86,Pass
Female,15,4.34,66.06,High School,No,71.31,0,6.41,Yes,56.1,Pass
Female,17,0.95,76.02,High School,No,76.81,9,8.89,Yes,68.55,Pass
Male,19,2.8,79.31,Diploma,Yes,81.03,3,8.84,No,65.46,Pass
Male,16,3.58,74.23,Master,Yes,47.32,4,4.03,Yes,52.93,Pass
Male,19,1.53,72.88,Bachelor,No,51.03,7,6.66,Yes,38.37,Fail
Male,17,2.97,87.46,High School,No,77.87,4,5.68,Yes,62.23,Pass
Female,15,3.81,68.63,Diploma,Yes,86.77,4,5.46,Yes,68.06,Pass
Male,17,2.3,88.38,High School,Yes,62.51,3,6.98,Yes,52.96,Pass
Female,18,4.8,97.4,Master,Yes,93.89,8,6.23,Yes,94.59,Pass
Male,18,5.12,82.61,Master,Yes,51.88,7,7.66,Yes,73.71,Pass
Male,19,2.28,84.46,Diploma,Yes,62.92,8,4.14,Yes,62.14,Pass
Female,19,5.11,62.76,Bachelor,Yes,60.82,6,8.63,Yes,66.88,Pass
Male,16,1.07,94.58,Bachelor,Yes,91.17,6,6.84,Yes,54.12,Pass
Male,16,5.11,71.42,High School,Yes,55.7,4,7.42,Yes,66.81,Pass
Male,18,1.34,84.6,Diploma,Yes,65.89,9,7.02,No,61.34,Pass
Male,15,0.96,99.16,Bachelor,Yes,50.3,0,8.95,Yes,39.95,Fail
Female,17,4.03,83.82,Master,No,68.67,5,8.93,No,67.89,Pass
Female,16,3.1,88.99,Bachelor,No,87.16,9,7.05,No,74.46,Pass
Male,16,5.49,77.81,Diploma,Yes,56.72,5,7.42,No,70.46,Pass
Male,15,2.5,62.41,Master,No,84.59,9,7.09,No,72.32,Pass
Male,15,2.08,91.9,High School,Yes,90.12,3,5.55,Yes,66.7,Pass
Female,19,3.25,61.4,Master,Yes,44.01,1,4.96,Yes,40.74,Pass
Female,17,3.01,88.03,Bachelor,Yes,81.6,0,6.01,Yes,53.52,Pass
Female,15,2.39,60.92,Bachelor,Yes,54.04,2,7.41,No,44.62,Pass
Female,16,4.32,94.49,Bachelor,Yes,49.64,10,4.28,Yes,70.8,Pass
Male,16,4.68,66.31,High School,Yes,73.06,8,6.57,No,72.72,Pass
Male,18,5.19,80.57,Bachelor,Yes,78.81,0,6.04,No,62.92,Pass
Male,15,5.85,83.89,Diploma,Yes,61.71,4,6.64,No,76.77,Pass
Female,19,1.97,78.3,High School,Yes,42.15,9,8.3,No,52.41,Pass
Male,17,4.44,73.63,Master,No,89.98,5,4.24,Yes,81.48,Pass
Female,19,2.67,78.71,Bachelor,Yes,80.19,8,7.82,No,80.23,Pass
Female,16,4.22,72.46,Diploma,Yes,54.94,0,7.33,Yes,49.57,Pass
Male,19,3.12,77.52,Diploma,Yes,67.33,4,5.02,Yes,55.12,Pass
Male,16,5.97,74.36,High School,No,41.53,0,7.67,No,49.2,Pass
Male,16,4.51,82.65,Diploma,Yes,58.66,1,6.48,Yes,62.09,Pass
Female,16,5.74,69.52,High School,Yes,68.74,1,6.41,No,64.89,Pass
Female,16,5.09,99.55,High School,Yes,68.45,10,6.42,No,83.72,Pass
Male,16,5.47,80.03,High School,Yes,51.45,4,8.75,Yes,62.6,Pass
Male,18,4.98,67.77,Master,Yes,82.72,9,8.72,Yes,82.71,Pass
Female,19,3.03,79.08,Master,Yes,56.44,3,8.57,Yes,65.2,Pass
Male,18,1.88,94.66,Diploma,Yes,71.92,5,8.43,Yes,54.93,Pass
Female,18,2.54,60.87,Master,Yes,54.93,4,4.19,Yes,39.04,Fail
Female,15,0.61,87.18,High School,Yes,63.38,1,6.0,No,39.25,Fail
Male,15,3.38,81.92,High School,Yes,51.41,8,8.47,Yes,59.43,Pass
Male,15,3.28,66.78,Master,Yes,74.82,9,7.78,Yes,74.89,Pass
Male,17,3.39,92.7,Diploma,No,63.41,7,6.28,No,66.02,Pass
Male,15,5.86,74.76,High School,Yes,40.89,8,7.87,No,75.28,Pass
Female,19,5.51,71.75,Master,Yes,41.55,10,5.04,No,61.59,Pass
Female,18,1.39,93.13,Bachelor,Yes,65.91,5,7.0,Yes,55.91,Pass
Female,19,2.53,85.54,Diploma,Yes,50.08,4,6.66,No,56.52,Pass
Male,15,2.83,95.93,Diploma,No,72.18,4,6.87,No,59.06,Pass
Female,17,2.48,85.2,Diploma,Yes,62.45,1,7.61,No,46.27,Pass
Male,17,4.89,89.63,Bachelor,Yes,75.99,10,8.75,Yes,82.0,Pass
Male,18,3.38,93.46,High School,Yes,92.38,3,5.32,Yes,66.89,Pass
Male,19,3.65,62.19,Diploma,Yes,69.08,1,7.79,No,60.01,Pass
Male,16,5.19,91.04,Master,No,83.31,1,7.23,Yes,66.15,Pass
Male,19,4.93,84.55,Diploma,Yes,81.42,7,7.48,Yes,83.12,Pass
Male,15,1.23,62.78,Master,Yes,90.7,3,6.14,Yes,47.48,Pass
Female,16,4.43,80.34,Diploma,Yes,51.77,3,8.72,No,50.99,Pass
Male,17,2.89,63.3,Master,No,85.5,6,6.4,No,67.88,Pass
Female,18,2.12,89.44,Master,No,89.8,3,4.61,No,56.43,Pass
Female,18,0.78,81.86,Master,Yes,61.6,8,7.4,No,47.48,Pass
Male,17,3.18,98.14,Bachelor,Yes,57.26,8,4.64,No,70.89,Pass
Male,15,2.45,67.33,Bachelor,Yes,92.36,2,5.61,Yes,62.62,Pass
Male,17,1.88,84.24,Bachelor,Yes,74.52,5,5.14,Yes,58.12,Pass
Female,15,4.32,68.46,High School,No,60.94,6,6.69,No,68.27,Pass
Male,16,4.73,84.56,Master,No,83.55,2,5.74,Yes,62.77,Pass
Female,17,1.85,88.91,High School,Yes,56.75,3,4.8,No,42.35,Pass
Male,15,0.77,88.89,Bachelor,Yes,49.7,0,7.95,Yes,34.01,Fail
Male,16,5.17,92.6,Master,Yes,69.92,10,6.34,Yes,75.98,Pass
Female,17,0.55,94.14,High School,Yes,71.14,8,6.27,No,49.7,Pass
Female,18,5.65,63.09,Bachelor,Yes,85.42,6,8.43,No,79.24,Pass
Male,17,3.95,73.73,High School,Yes,65.14,9,6.69,Yes,72.26,Pass
Female,19,2.27,87.48,High School,No,84.8,6,7.55,Yes,65.06,Pass
Female,17,1.86,79.94,Bachelor,Yes,57.12,8,5.64,No,51.74,Pass
Female,19,0.55,67.63,Master,Yes,71.65,5,6.81,Yes,44.02,Pass
Female,16,1.8,82.11,Diploma,Yes,51.47,7,7.63,No,50.72,Pass
Female,17,1.26,76.3,Diploma,Yes,61.2,4,5.48,No,50.28,Pass
Male,16,3.87,75.6,High School,Yes,87.16,7,7.44,No,83.5,Pass
Male,16,1.42,92.39,High School,Yes,51.88,9,6.84,Yes,55.57,Pass
Female,15,3.41,76.3,High School,No,84.56,0,6.17,No,48.97,Pass
Male,16,3.75,61.06,Master,No,55.56,2,7.56,No,55.59,Pass
Male,16,2.14,62.32,High School,Yes,41.9,3,5.58,No,43.12,Pass
Female,17,0.69,94.25,High School,Yes,46.05,10,7.57,No,48.63,Pass
Male,17,0.7,98.42,High School,Yes,81.02,8,6.76,Yes,60.81,Pass
Female,18,0.64,87.54,Bachelor,Yes,54.41,7,5.23,No,55.01,Pass
Female,15,4.57,74.57,Diploma,Yes,75.98,7,7.34,No,82.73,Pass
Male,16,2.25,97.54,Diploma,Yes,78.46,1,8.42,Yes,50.51,Pass
Female,15,4.88,86.51,Bachelor,Yes,58.98,6,5.55,No,79.83,Pass
Female,19,2.87,93.77,Master,Yes,66.12,2,8.06,No,56.59,Pass
Female,16,2.99,90.63,Master,Yes,62.21,5,5.68,No,71.59,Pass
Female,15,3.32,75.17,Master,No,92.1,3,8.11,No,60.34,Pass
Female,18,4.42,79.15,Bachelor,Yes,57.6,5,4.26,Yes,60.51,Pass
Male,18,2.0,67.45,Diploma,No,50.08,3,4.04,Yes,32.04,Fail
Male,16,1.17,71.68,Diploma,No,60.11,2,4.57,Yes,40.17,Pass
Female,19,3.56,91.13,High School,Yes,76.82,1,8.37,Yes,63.86,Pass
Female,18,2.3,95.76,Diploma,Yes,78.35,3,6.67,Yes,67.7,Pass
Male,18,2.93,88.98,Master,Yes,90.82,9,6.97,Yes,74.37,Pass
Female,19,4.06,78.61,Master,Yes,88.5,1,8.21,No,67.4,Pass
Male,15,3.22,63.46,High School,Yes,55.86,6,4.25,Yes,55.34,Pass
Female,18,3.91,62.28,High School,Yes,65.03,0,5.94,No,55.41,Pass
Female,17,3.49,74.97,Diploma,Yes,81.1,10,7.22,No,76.78,Pass
Female,18,4.57,78.55,High School,Yes,90.41,0,6.02,Yes,65.56,Pass
Female,15,4.38,84.36,High School,Yes,58.54,4,4.16,No,53.07,Pass
Female,15,3.44,60.26,Bachelor,Yes,64.44,6,7.25,No,62.49,Pass
Female,16,4.23,99.59,Diploma,Yes,89.47,0,5.96,No,74.28,Pass
Female,17,5.3,74.56,Master,Yes,59.72,3,4.1,Yes,57.56,Pass
Male,15,2.88,93.92,Bachelor,Yes,66.43,4,4.85,No,62.98,Pass
Male,19,2.77,81.4,Master,Yes,89.75,1,5.09,Yes,60.35,Pass
Male,17,4.7,65.22,High School,Yes,84.12,6,6.55,Yes,65.34,Pass
Female,17,3.7,91.9,High School,Yes,53.39,3,4.93,No,53.37,Pass
Female,19,0.89,88.39,Master,Yes,57.86,7,5.81,Yes,49.1,Pass
Female,18,5.41,81.1,Bachelor,Yes,59.41,0,7.75,No,61.15,Pass
Female,19,0.67,80.58,Bachelor,Yes,90.2,9,8.04,Yes,68.28,Pass
Female,19,4.62,63.5,Bachelor,Yes,94.94,0,7.98,Yes,68.12,Pass
Female,18,4.67,86.23,High School,Yes,82.57,0,7.48,Yes,68.49,Pass
Female,18,5.74,96.45,Diploma,Yes,66.64,3,6.71,Yes,66.5,Pass
Male,18,0.8,63.73,High School,Yes,40.56,0,6.75,No,25.69,Fail
Female,18,3.78,70.54,Master,Yes,78.36,4,8.77,Yes,64.57,Pass
Male,18,2.85,96.09,Bachelor,Yes,61.41,5,8.39,No,64.27,Pass
Male,19,2.32,71.37,Diploma,Yes,74.81,6,7.25,No,51.47,Pass
Female,16,1.0,86.16,Bachelor,Yes,73.37,7,6.34,No,59.98,Pass
Female,16,3.59,81.39,High School,Yes,66.45,7,7.65,No,74.19,Pass
Male,15,3.13,83.85,Diploma,No,91.94,1,4.31,Yes,63.45,Pass
Male,16,1.08,76.63,Diploma,No,41.27,3,8.72,Yes,52.17,Pass
Female,16,3.87,72.0,High School,Yes,79.17,6,6.74,No,67.79,Pass
Female,19,4.56,61.94,Bachelor,Yes,62.54,8,6.51,No,69.32,Pass
Male,18,4.72,89.77,Bachelor,No,79.26,8,5.45,No,77.51,Pass
Female,18,5.48,89.84,Bachelor,Yes,77.14,10,4.02,Yes,86.13,Pass
Female,19,2.75,86.83,High School,Yes,40.56,2,4.31,Yes,45.79,Pass
Female,16,5.74,85.75,Master,Yes,55.69,6,5.32,No,69.72,Pass
Male,19,5.26,69.75,Master,Yes,50.4,3,6.71,Yes,55.33,Pass
Male,15,2.13,60.89,Bachelor,Yes,49.18,8,4.42,Yes,44.45,Pass
Male,18,1.38,92.35,Diploma,No,80.07,6,8.86,Yes,59.39,Pass
Female,17,2.89,79.65,Master,Yes,53.18,5,6.05,Yes,53.59,Pass
Female,15,2.71,72.27,Bachelor,Yes,66.11,8,5.58,No,61.7,Pass
Male,15,3.67,64.08,Master,Yes,53.58,6,6.63,Yes,69.31,Pass
Male,19,3.71,62.51,Bachelor,Yes,71.91,10,4.32,No,76.81,Pass
Male,16,4.62,73.95,Master,Yes,79.63,7,8.25,No,73.66,Pass
Female,18,3.3,92.19,Master,Yes,58.21,10,6.3,Yes,72.56,Pass
Male,17,1.08,96.75,Diploma,No,73.17,4,4.89,No,56.45,Pass
Male,15,5.22,95.87,Diploma,Yes,85.37,3,4.81,Yes,75.81,Pass
Female,17,2.2,96.8,Master,Yes,45.18,0,5.8,Yes,36.7,Fail
Female,16,5.84,96.31,Bachelor,Yes,79.09,7,6.87,No,79.58,Pass
Female,16,1.15,81.09,Diploma,Yes,57.77,5,6.08,No,53.83,Pass
Male,17,5.77,68.78,High School,Yes,46.75,3,6.98,Yes,59.62,Pass
Female,18,1.0,91.92,Diploma,Yes,70.01,2,7.53,No,45.24,Pass
Female,16,1.77,68.55,Master,Yes,52.44,4,7.74,No,50.25,Pass
Male,17,0.76,70.69,Master,Yes,85.17,3,6.0,Yes,51.1,Pass
Female,15,4.38,69.33,High School,Yes,42.36,10,7.59,Yes,78.08,Pass
Male,17,5.18,80.6,Diploma,Yes,45.43,10,4.71,No,69.5,Pass
Male,17,2.89,72.87,Master,Yes,68.65,6,6.57,No,59.34,Pass
Female,19,5.61,66.17,High School,No,72.39,5,4.36,Yes,70.11,Pass
Female,16,3.75,78.13,High School,Yes,80.14,2,5.22,Yes,58.47,Pass
Female,18,3.97,94.96,Bachelor,Yes,54.26,9,6.92,Yes,71.08,Pass
Female,18,5.15,82.82,Diploma,Yes,86.3,10,7.7,Yes,92.1,Pass
Female,19,2.13,95.13,Diploma,Yes,92.42,0,4.48,No,55.22,Pass
Female,18,2.45,67.83,Diploma,Yes,67.45,6,5.04,Yes,58.22,Pass
Male,17,5.48,66.68,Master,Yes,81.83,4,8.96,Yes,75.86,Pass
Male,19,5.46,83.02,High School,Yes,68.87,0,5.69,Yes,69.62,Pass
Female,15,5.87,78.53,Bachelor,Yes,43.82,0,5.42,Yes,51.7,Pass
Male,16,5.46,86.41,Diploma,Yes,57.94,5,4.43,Yes,70.0,Pass
Female,16,1.2,91.79,Bachelor,Yes,44.81,3,7.47,Yes,41.26,Pass
Male,16,5.03,90.05,Bachelor,Yes,94.39,7,6.54,Yes,87.96,Pass
Male,17,2.75,97.69,High School,Yes,52.6,1,4.79,No,46.93,Pass
Male,15,5.95,75.93,Diploma,Yes,74.97,3,7.16,Yes,78.45,Pass
Female,19,3.1,68.26,Bachelor,No,55.64,7,6.63,Yes,55.11,Pass
Male,19,3.55,82.04,Diploma,Yes,75.93,7,6.82,No,69.46,Pass
Female,16,3.41,64.43,Diploma,Yes,51.57,4,8.97,No,49.17,Pass
Male,15,2.27,71.55,Diploma,Yes,83.19,2,4.14,No,52.49,Pass
Male,15,0.91,68.32,Bachelor,Yes,46.09,3,8.57,No,36.4,Fail
Male,15,5.43,75.86,High School,Yes,89.23,2,8.21,Yes,79.39,Pass
Male,18,4.91,64.45,High School,No,86.22,10,6.08,No,81.57,Pass
Male,18,1.27,61.27,Bachelor,Yes,77.33,1,8.4,No,50.01,Pass
Female,16,4.77,86.27,Master,Yes,43.71,3,7.24,No,54.3,Pass
Female,15,3.94,84.41,Diploma,Yes,51.47,8,8.45,Yes,59.94,Pass
Male,15,2.75,88.33,Diploma,Yes,87.26,5,6.97,Yes,64.17,Pass
Male,19,1.9,86.42,High School,No,46.71,3,5.08,Yes,47.61,Pass
Male,19,5.23,64.57,Bachelor,Yes,48.58,0,6.88,No,46.85,Pass
Male,16,4.35,71.64,Bachelor,Yes,69.92,6,4.9,Yes,78.91,Pass
Female,15,3.51,65.18,Master,Yes,55.08,1,4.7,Yes,48.8,Pass
Male,16,3.85,93.72,Master,Yes,52.21,5,7.27,Yes,51.02,Pass
Female,19,1.0,89.88,High School,Yes,71.67,9,8.74,No,55.47,Pass
Male,19,3.11,68.06,Master,Yes,60.49,0,6.94,Yes,50.67,Pass
Female,18,1.57,73.65,Master,Yes,47.73,6,7.98,Yes,39.01,Fail
Male,16,1.65,98.66,Bachelor,Yes,69.42,3,4.84,No,55.19,Pass
Male,16,4.14,83.77,Bachelor,Yes,61.29,10,7.27,Yes,67.74,Pass
Female,15,5.51,92.05,Master,Yes,80.4,2,7.66,No,74.75,Pass
Male,15,2.72,70.58,High School,Yes,45.65,9,4.21,Yes,63.5,Pass
Male,18,1.64,68.4,Master,Yes,74.13,6,4.49,No,58.59,Pass
Male,17,4.07,91.36,High School,No,64.01,2,7.91,Yes,63.35,Pass
Female,17,5.29,87.43,Master,Yes,62.33,7,6.2,No,77.76,Pass
Male,17,4.62,87.24,Bachelor,Yes,52.78,10,6.03,No,67.23,Pass
Male,16,5.28,82.11,Bachelor,Yes,41.67,3,8.6,No,51.23,Pass
Female,16,3.45,82.54,High School,Yes,86.62,2,8.96,No,55.34,Pass
Female,19,4.64,89.43,Master,Yes,57.95,6,7.82,Yes,68.87,Pass
Female,16,1.27,70.8,Master,No,77.46,6,7.96,No,55.91,Pass
Male,16,2.42,74.11,High School,No,92.12,8,5.04,No,67.37,Pass
Male,16,2.64,94.87,Master,No,71.07,9,4.96,Yes,70.79,Pass
Male,18,3.31,72.35,Diploma,Yes,61.84,6,8.9,No,68.55,Pass
Female,16,5.61,81.85,Bachelor,Yes,54.76,5,7.48,No,71.59,Pass
Male,15,5.31,88.11,Bachelor,Yes,91.37,2,7.43,No,82.77,Pass
Male,15,1.24,100.0,High School,Yes,77.51,3,5.43,Yes,51.27,Pass
Female,19,1.45,77.41,Master,Yes,76.59,7,8.43,Yes,60.5,Pass
Female,18,2.47,77.12,High School,Yes,63.44,5,4.22,Yes,57.04,Pass
Female,15,2.1,93.7,Diploma,Yes,86.48,8,5.37,Yes,74.69,Pass
Female,18,3.88,92.22,Master,Yes,79.25,7,4.9,No,66.66,Pass
Female,18,5.47,89.24,Diploma,Yes,55.58,7,7.56,No,80.02,Pass
Male,19,5.79,78.53,High School,Yes,72.98,10,7.58,Yes,87.17,Pass
Female,18,4.09,72.96,Bachelor,Yes,63.66,9,6.67,No,77.74,Pass
Male,16,5.11,84.35,Diploma,Yes,40.36,9,4.03,Yes,73.41,Pass
Male,18,3.39,95.05,Master,Yes,84.42,6,8.37,No,61.53,Pass
Female,19,1.65,95.35,High School,Yes,46.76,9,8.78,Yes,56.16,Pass
Female,19,3.39,64.34,High School,No,68.05,10,5.01,Yes,73.06,Pass
Female,19,3.55,77.13,High School,No,58.49,0,8.21,Yes,47.77,Pass
Male,15,4.58,78.59,Bachelor,Yes,58.81,4,8.87,Yes,62.33,Pass
Female,16,1.71,99.1,High School,Yes,66.26,6,5.63,No,52.57,Pass
Female,15,2.53,87.12,High School,Yes,94.84,9,4.93,Yes,76.52,Pass
Female,17,2.5,76.29,Bachelor,No,62.46,8,8.89,Yes,59.46,Pass
Female,16,5.78,61.04,High School,Yes,50.03,3,4.3,No,58.43,Pass
Female,18,2.94,82.62,High School,Yes,73.75,7,5.38,Yes,64.63,Pass
Male,19,4.65,63.84,Diploma,No,53.0,0,7.71,Yes,39.03,Fail
Male,17,4.63,93.38,High School,Yes,45.81,3,7.09,No,54.22,Pass
Male,16,1.96,90.1,Bachelor,No,42.76,3,7.42,No,37.37,Fail
Female,15,3.65,78.42,Diploma,Yes,41.26,1,7.54,Yes,40.43,Pass
Female,19,5.42,77.17,High School,Yes,63.71,10,7.43,No,73.4,Pass
Female,15,3.11,95.89,Bachelor,Yes,63.47,10,5.71,Yes,69.37,Pass
Male,16,5.7,71.54,Master,No,50.2,2,5.56,Yes,55.3,Pass
Female,16,1.68,69.96,High School,No,83.12,2,6.14,No,48.14,Pass
Female,17,0.91,97.57,Master,Yes,47.11,8,8.04,Yes,49.76,Pass
Female,18,5.4,92.37,Diploma,Yes,90.34,6,8.69,No,92.51,Pass
Male,15,5.16,92.83,Bachelor,Yes,72.32,1,6.28,No,66.67,Pass
Female,17,5.96,67.81,Diploma,No,41.52,8,4.43,No,74.55,Pass
Male,19,4.24,65.73,Master,Yes,92.96,7,8.69,Yes,78.47,Pass
Female,18,5.65,61.04,Master,Yes,56.94,5,4.4,Yes,79.51,Pass
Male,17,5.05,69.48,Master,Yes,64.75,5,4.8,No,62.49,Pass
Male,15,5.14,90.97,Bachelor,Yes,55.63,1,8.34,No,49.08,Pass
Male,16,3.63,69.6,Master,Yes,80.06,2,6.76,No,65.61,Pass
Female,19,2.6,89.16,Master,Yes,66.71,5,5.76,No,62.27,Pass
Female,15,5.64,70.08,Bachelor,No,47.28,2,8.65,Yes,49.08,Pass
Male,18,2.88,75.81,Master,Yes,45.73,10,8.8,Yes,59.53,Pass
Male,18,3.46,99.33,High School,Yes,79.9,10,5.65,No,88.17,Pass
Female,16,2.95,69.79,Master,Yes,53.04,6,8.34,Yes,59.41,Pass
Female,16,3.61,75.05,Bachelor,Yes,47.58,4,7.39,No,44.87,Pass
Male,19,3.09,72.04,Master,No,67.47,3,5.37,No,45.5,Pass
Female,19,0.76,64.38,Bachelor,Yes,84.15,7,8.71,Yes,65.99,Pass
Female,16,5.35,79.6,Master,No,55.33,10,4.32,No,72.6,Pass
Female,16,2.94,75.15,High School,Yes,55.2,10,5.59,No,69.14,Pass
Female,18,3.74,87.8,Bachelor,Yes,85.86,1,5.98,Yes,67.38,Pass
Male,16,1.27,92.7,Bachelor,No,48.13,2,7.45,No,38.75,Fail
Female,17,0.52,81.77,Bachelor,Yes,73.92,9,4.19,No,54.6,Pass
Female,15,1.85,61.29,Bachelor,No,92.53,3,8.45,Yes,65.84,Pass
Male,16,4.38,84.76,Master,Yes,86.27,9,7.3,Yes,71.67,Pass
Male,19,1.05,62.22,Master,Yes,43.4,5,5.38,Yes,44.31,Pass
Female,17,5.5,84.65,High School,Yes,57.6,4,7.29,Yes,65.38,Pass
Female,19,1.68,87.4,High School,Yes,47.83,4,6.68,Yes,40.46,Pass
Female,17,1.63,67.91,Master,Yes,92.21,6,5.68,No,63.22,Pass
Female,16,1.5,92.77,Diploma,Yes,94.23,7,4.14,No,74.11,Pass
Male,15,0.58,96.44,Bachelor,No,52.92,5,6.76,Yes,37.47,Fail
Male,19,4.74,92.52,Master,Yes,76.83,2,4.41,Yes,69.34,Pass
Male,17,5.31,72.2,High School,Yes,86.29,3,8.05,Yes,77.28,Pass
Female,18,3.88,83.47,Bachelor,Yes,52.85,0,4.44,Yes,47.89,Pass
Female,16,1.54,96.59,High School,Yes,50.32,10,6.14,Yes,51.96,Pass
Female,15,2.07,72.83,Diploma,Yes,40.62,4,6.17,No,37.77,Fail
Female,16,3.12,92.8,Bachelor,Yes,62.66,9,6.78,Yes,76.85,Pass
Male,18,5.75,60.38,Diploma,Yes,89.47,7,4.2,Yes,89.29,Pass
Male,15,1.86,60.15,Diploma,Yes,89.66,2,5.02,No,58.17,Pass
Female,18,4.52,90.39,Diploma,Yes,47.03,9,5.0,Yes,79.1,Pass
Male,16,2.92,90.46,Master,Yes,51.24,3,6.99,No,46.2,Pass
Female,17,2.14,91.56,High School,Yes,62.44,3,5.32,Yes,50.75,Pass
Female,16,3.01,97.2,Bachelor,No,82.93,5,4.72,No,68.18,Pass
Male,16,0.89,64.72,Master,Yes,73.65,8,4.09,Yes,62.57,Pass
